Название вакансии,URL,Название компании,Описание
Программист Python,https://perm.hh.ru/vacancy/32307739?query=python,ООО Тензор,"Требования: 
Опыт: Знание Python. Опыт работы с базами данных. Понимание принципов ООП. Плюсом будет: Опыт разработки высоконагруженных систем. Опыт кроссплатформенной разработки."
Ведущий Python разработчик,https://perm.hh.ru/vacancy/32061372?query=python,ООО Где Лучше,"Требования: С нуля разрабатывать большой проект. Участвовать в создании новых фич и реализовывать их. Работать в условиях отсутствия бюрократии и гибкого...
Опыт: Опыт разработки на Python 3 не менее 3 лет. Опыт работы PostgreSQL. Опыт работы с git."
Python/Django разработчик,https://perm.hh.ru/vacancy/32158934?query=python,ООО ИДАГРУПП,"Требования: Участие в написании ТЗ. Участие в переговорах с крупными подрядчиками вместе с менеджером проекта. Разработка и проектирование проекта от идеи...
Опыт: Знание Python 3.5+. Соблюдение PEP8. Уверенное знание Django 1.11+. Работа со стэком Celery / RabbitMQ. "
Senior Python Developer,https://perm.hh.ru/vacancy/31354285?query=python, Quantenna Communications,"Требования: Developing and improving Cloud software (Python and Go). Applying strong familiarity with database systems and distributed systems concepts to new...
Опыт: ...и базовых протоколов HTTP, WebSocket, DNS, TLS. Processing data from SQL and noSQL DB, AWS file storage (Spark/Python, Go)."
Разработчик Python,https://perm.hh.ru/vacancy/32281454?query=python, Робокасса,"Требования: Asyncio - Sanic (Gotta Go Fast). - Обязательное написание unit-тестов. - Инфраструктура в управляемом Kubernetes кластере Microsoft Azure. В составе команды вам...
Опыт: Drone CI, Github Actions, Github Container Registry. - Щепетильный Code Review. - Опыт работы с Python от 2 лет. - Опыт работы с..."
Python developer (senior),https://perm.hh.ru/vacancy/32014182?query=python,ООО Капитал,"Требования: Интеграция решений для хранения данных: MySQL и Redis. Разработка приложений с низкой задержкой, высокой доступностью и производительностью. Интеграция элементов пользовательского...
Опыт: Понимание потоковых ограничений Python. Знакомство с программированием на основе событий в Python. Аутентификация и авторизация между системами, серверами и средами. "
Программист Python,https://perm.hh.ru/vacancy/32304134?query=python,ООО С-ПЛЮС,"Требования: Разработка серверной части проекта на языке Python. Создание тестов для кода на Python PyTest. Документирование кода в Swagger.
Опыт: Подтвержденный опыт работы программистом Python от 3-х лет. Обязателен опыт коммерческой разработки веб-сервисов. Отличное знание Python и его..."
Разработчик Python/Django + React.js,https://perm.hh.ru/vacancy/31844761?query=python, Ivelum,"Требования: 
Опыт: Это вакансия для фуллстек-разработчиков уровня ""middle"" или ""senior"". Мы ожидаем, что у вас уже есть опыт в веб-разработке..."
Программист-математик Linux (Python),https://perm.hh.ru/vacancy/32027078?query=python, Центр информационных технологий и систем органов исполнительной власти,"Требования: разработка прикладного программного обеспечения для систем автоматизации в среде Linux. - разработка математических моделей согласно теории принятия решений. - разработка документации.
Опыт: высшее техническое или математическое образование. - опыт программирования на Python не менее 3х лет. - умение разбираться в чужом коде и..."
Python разработчик,https://perm.hh.ru/vacancy/31592173?query=python,ООО ДИДЖИТАЛ ТРЕЙД СОЛЮШНС,"Требования: Проектировать, разрабатывать и поддерживать веб-сервисы на языке Python с использованием Flask. Профилировать и оптимизировать код. Разрабатывать сложные системы взаимодействия...
Опыт: Отличные знания Python 3, Flask, SQL. Опыт в написание тестов (pytest, unittest). Понимание разницы между SQL/noSQL базами данных. "
Программист Python,https://perm.hh.ru/vacancy/32028527?query=python,ООО АКХ,"Требования: Автоматизированные камеры хранения. Автоматизированные ключницы. Автоматизированные депозитные машины.
Опыт: Python. Flask + HTML5 (или PyQT). Нижний уровень. Верхний уровень. Опыт программирования на языке Python. Опыт реализации коммерческих проектов..."
Разработчик Python,https://perm.hh.ru/vacancy/31865378?query=python, Яндекс,"Требования: 
Опыт: Программируете на Python не менее 3 лет или имеете большой опыт разработки на другом языке и желание переключиться на Python. "
Python разработчик (Django),https://perm.hh.ru/vacancy/32165478?query=python, SibEDGE,"Требования: До встречи в SibEDGE! ;).
Опыт: Про проект: Что мы хотим видеть у тебя. Уверенное знание Python, опыт программирования от 2 лет. Опыт работы с Django..."
Разработчик Python,https://perm.hh.ru/vacancy/30451399?query=python, Открытые Технологии,"Требования: Реализация нового функционала. Проведение code-review. Анализ чужого кода. Участие в проектировании архитектуры системы.
Опыт: Знание языка Python (версия 2 и 3). Опыт работы с фреймворками: Tornado (async), Flask, Bottle. Опыт написания SQL запросов. "
